table,row,col,expected
Log2Table,5,-1,
Log2Table,6,-1,
Log2Table,7,-1,
Log2Table,8,-1,
Log2Table,9,-1,
Log2Table,10,-1,
Log2Table,11,-1,
Log2Table,12,-1,
Log2Table,13,-1,
Log2Table,14,-1,
Log2Table,15,-1,
Log2Table,16,-1,
Log2Table,17,-1,
Log2Table,18,-1,
Log2Table,19,-1,
Log2Table,20,-1,
Log2Table,21,-1,
Log2Table,22,-1,
Log2Table,23,-1,
Log2Table,24,-1,
Log2Table,25,-1,
Log2Table,26,-1,
Log2Table,27,-1,
Log2Table,28,-1,
Log2Table,29,-1,
Log2Table,30,-1,
Log2Table,31,-1,
Log2Table,32,-1,
GainGBK1,0,0,
GainGBK1,0,1,
GainGBK1,1,0,
GainGBK1,1,1,
GainGBK1,2,0,
GainGBK1,2,1,
GainGBK1,3,0,
GainGBK1,3,1,
GainGBK1,4,0,
GainGBK1,4,1,
GainGBK1,5,0,
GainGBK1,5,1,
GainGBK1,6,0,
GainGBK1,6,1,
GainGBK1,7,0,
GainGBK1,7,1,
GainGBK2,0,0,
GainGBK2,0,1,
GainGBK2,1,0,
GainGBK2,1,1,
GainGBK2,2,0,
GainGBK2,2,1,
GainGBK2,3,0,
GainGBK2,3,1,
GainGBK2,4,0,
GainGBK2,4,1,
GainGBK2,5,0,
GainGBK2,5,1,
GainGBK2,6,0,
GainGBK2,6,1,
GainGBK2,7,0,
GainGBK2,7,1,
GainGBK2,8,0,
GainGBK2,8,1,
GainGBK2,9,0,
GainGBK2,9,1,
GainGBK2,10,0,
GainGBK2,10,1,
GainGBK2,11,0,
GainGBK2,11,1,
GainGBK2,12,0,
GainGBK2,12,1,
GainGBK2,13,0,
GainGBK2,13,1,
GainGBK2,14,0,
GainGBK2,14,1,
GainGBK2,15,0,
GainGBK2,15,1,
GainMap1,0,-1,
GainMap1,1,-1,
GainMap1,2,-1,
GainMap1,3,-1,
GainMap1,4,-1,
GainMap1,5,-1,
GainMap1,6,-1,
GainMap1,7,-1,
GainImap1,0,-1,
GainImap1,1,-1,
GainImap1,2,-1,
GainImap1,3,-1,
GainImap1,4,-1,
GainImap1,5,-1,
GainImap1,6,-1,
GainImap1,7,-1,
GainMap2,0,-1,
GainMap2,1,-1,
GainMap2,2,-1,
GainMap2,3,-1,
GainMap2,4,-1,
GainMap2,5,-1,
GainMap2,6,-1,
GainMap2,7,-1,
GainMap2,8,-1,
GainMap2,9,-1,
GainMap2,10,-1,
GainMap2,11,-1,
GainMap2,12,-1,
GainMap2,13,-1,
GainMap2,14,-1,
GainMap2,15,-1,
GainImap2,0,-1,
GainImap2,1,-1,
GainImap2,2,-1,
GainImap2,3,-1,
GainImap2,4,-1,
GainImap2,5,-1,
GainImap2,6,-1,
GainImap2,7,-1,
GainImap2,8,-1,
GainImap2,9,-1,
GainImap2,10,-1,
GainImap2,11,-1,
GainImap2,12,-1,
GainImap2,13,-1,
GainImap2,14,-1,
GainImap2,15,-1,
GainMAPredictor,0,-1,
GainMAPredictor,1,-1,
GainMAPredictor,2,-1,
GainMAPredictor,3,-1,
GainMeanEnergyQ10,-1,-1,
GainPastErrorsDefaultQ10,-1,-1,
