table,selector,tap,row,col,expected
LSPCodebookL1,-1,-1,15,7,16814
LSPCodebookL1,-1,-1,15,8,18149
LSPCodebookL1,-1,-1,15,9,21675
LSPCodebookL1,-1,-1,16,0,1798
LSPCodebookL1,-1,-1,16,1,2497
LSPCodebookL1,-1,-1,16,2,5617
LSPCodebookL1,-1,-1,16,3,11449
LSPCodebookL1,-1,-1,16,4,13189
LSPCodebookL1,-1,-1,16,5,14711
LSPCodebookL1,-1,-1,16,6,17050
LSPCodebookL1,-1,-1,16,7,18195
LSPCodebookL1,-1,-1,16,8,20307
LSPCodebookL1,-1,-1,16,9,21182
LSPCodebookL1,-1,-1,17,0,1009
LSPCodebookL1,-1,-1,17,1,1647
LSPCodebookL1,-1,-1,17,2,2889
LSPCodebookL1,-1,-1,17,3,5709
LSPCodebookL1,-1,-1,17,4,9541
LSPCodebookL1,-1,-1,17,5,12354
LSPCodebookL1,-1,-1,17,6,15231
LSPCodebookL1,-1,-1,17,7,18494
LSPCodebookL1,-1,-1,17,8,20966
LSPCodebookL1,-1,-1,17,9,22033
LSPCodebookL1,-1,-1,18,0,3016
LSPCodebookL1,-1,-1,18,1,3794
LSPCodebookL1,-1,-1,18,2,5406
LSPCodebookL1,-1,-1,18,3,7469
LSPCodebookL1,-1,-1,18,4,12488
LSPCodebookL1,-1,-1,18,5,13984
LSPCodebookL1,-1,-1,18,6,15328
LSPCodebookL1,-1,-1,18,7,16334
LSPCodebookL1,-1,-1,18,8,19952
LSPCodebookL1,-1,-1,18,9,20791
LSPCodebookL1,-1,-1,19,0,2203
LSPCodebookL1,-1,-1,19,1,3040
LSPCodebookL1,-1,-1,19,2,3796
LSPCodebookL1,-1,-1,19,3,5442
LSPCodebookL1,-1,-1,19,4,11987
LSPCodebookL1,-1,-1,19,5,13512
LSPCodebookL1,-1,-1,19,6,14931
LSPCodebookL1,-1,-1,19,7,16370
LSPCodebookL1,-1,-1,19,8,17856
LSPCodebookL1,-1,-1,19,9,18803
LSPCodebookL1,-1,-1,20,0,2912
LSPCodebookL1,-1,-1,20,1,4292
LSPCodebookL1,-1,-1,20,2,7988
LSPCodebookL1,-1,-1,20,3,9572
LSPCodebookL1,-1,-1,20,4,11562
LSPCodebookL1,-1,-1,20,5,13244
LSPCodebookL1,-1,-1,20,6,14556
LSPCodebookL1,-1,-1,20,7,16529
LSPCodebookL1,-1,-1,20,8,20004
LSPCodebookL1,-1,-1,20,9,21073
LSPCodebookL1,-1,-1,21,0,2861
LSPCodebookL1,-1,-1,21,1,3607
LSPCodebookL1,-1,-1,21,2,5923
LSPCodebookL1,-1,-1,21,3,7034
LSPCodebookL1,-1,-1,21,4,9234
LSPCodebookL1,-1,-1,21,5,12054
LSPCodebookL1,-1,-1,21,6,13729
LSPCodebookL1,-1,-1,21,7,18056
LSPCodebookL1,-1,-1,21,8,20262
LSPCodebookL1,-1,-1,21,9,20974
LSPCodebookL1,-1,-1,22,0,3069
LSPCodebookL1,-1,-1,22,1,4311
LSPCodebookL1,-1,-1,22,2,5967
LSPCodebookL1,-1,-1,22,3,7367
LSPCodebookL1,-1,-1,22,4,11482
LSPCodebookL1,-1,-1,22,5,12699
LSPCodebookL1,-1,-1,22,6,14309
LSPCodebookL1,-1,-1,22,7,16233
LSPCodebookL1,-1,-1,22,8,18333
LSPCodebookL1,-1,-1,22,9,19172
LSPCodebookL1,-1,-1,23,0,2434
LSPCodebookL1,-1,-1,23,1,3661
LSPCodebookL1,-1,-1,23,2,4866
LSPCodebookL1,-1,-1,23,3,5798
LSPCodebookL1,-1,-1,23,4,10383
LSPCodebookL1,-1,-1,23,5,11722
LSPCodebookL1,-1,-1,23,6,13049
LSPCodebookL1,-1,-1,23,7,15668
LSPCodebookL1,-1,-1,23,8,18862
LSPCodebookL1,-1,-1,23,9,19831
LSPCodebookL1,-1,-1,24,0,2020
LSPCodebookL1,-1,-1,24,1,2605
LSPCodebookL1,-1,-1,24,2,3860
LSPCodebookL1,-1,-1,24,3,9241
LSPCodebookL1,-1,-1,24,4,13275
LSPCodebookL1,-1,-1,24,5,14644
LSPCodebookL1,-1,-1,24,6,16010
LSPCodebookL1,-1,-1,24,7,17099
LSPCodebookL1,-1,-1,24,8,19268
LSPCodebookL1,-1,-1,24,9,20251
LSPCodebookL1,-1,-1,25,0,1877
LSPCodebookL1,-1,-1,25,1,2809
LSPCodebookL1,-1,-1,25,2,3590
LSPCodebookL1,-1,-1,25,3,4707
LSPCodebookL1,-1,-1,25,4,11056
LSPCodebookL1,-1,-1,25,5,12441
LSPCodebookL1,-1,-1,25,6,15622
LSPCodebookL1,-1,-1,25,7,17168
LSPCodebookL1,-1,-1,25,8,18761
LSPCodebookL1,-1,-1,25,9,19907
LSPCodebookL1,-1,-1,26,0,2107
LSPCodebookL1,-1,-1,26,1,2873
LSPCodebookL1,-1,-1,26,2,3673
LSPCodebookL1,-1,-1,26,3,5799
LSPCodebookL1,-1,-1,26,4,13579
LSPCodebookL1,-1,-1,26,5,14687
LSPCodebookL1,-1,-1,26,6,15938
LSPCodebookL1,-1,-1,26,7,17077
LSPCodebookL1,-1,-1,26,8,18890
LSPCodebookL1,-1,-1,26,9,19831
LSPCodebookL1,-1,-1,27,0,1612
LSPCodebookL1,-1,-1,27,1,2284
LSPCodebookL1,-1,-1,27,2,2944
LSPCodebookL1,-1,-1,27,3,3572
LSPCodebookL1,-1,-1,27,4,8219
LSPCodebookL1,-1,-1,27,5,13959
LSPCodebookL1,-1,-1,27,6,15924
LSPCodebookL1,-1,-1,27,7,17239
LSPCodebookL1,-1,-1,27,8,18592
LSPCodebookL1,-1,-1,27,9,20117
LSPCodebookL1,-1,-1,28,0,2420
LSPCodebookL1,-1,-1,28,1,3156
LSPCodebookL1,-1,-1,28,2,6542
LSPCodebookL1,-1,-1,28,3,10215
LSPCodebookL1,-1,-1,28,4,12061
LSPCodebookL1,-1,-1,28,5,13534
LSPCodebookL1,-1,-1,28,6,15305
LSPCodebookL1,-1,-1,28,7,16452
LSPCodebookL1,-1,-1,28,8,18717
LSPCodebookL1,-1,-1,28,9,19880
LSPCodebookL1,-1,-1,29,0,1667
LSPCodebookL1,-1,-1,29,1,2612
LSPCodebookL1,-1,-1,29,2,3534
LSPCodebookL1,-1,-1,29,3,5237
LSPCodebookL1,-1,-1,29,4,10513
LSPCodebookL1,-1,-1,29,5,11696
LSPCodebookL1,-1,-1,29,6,12940
LSPCodebookL1,-1,-1,29,7,16798
LSPCodebookL1,-1,-1,29,8,18058
LSPCodebookL1,-1,-1,29,9,19378
LSPCodebookL1,-1,-1,30,0,2388
LSPCodebookL1,-1,-1,30,1,3017
LSPCodebookL1,-1,-1,30,2,4839
LSPCodebookL1,-1,-1,30,3,9333
LSPCodebookL1,-1,-1,30,4,11413
LSPCodebookL1,-1,-1,30,5,12730
LSPCodebookL1,-1,-1,30,6,15024
LSPCodebookL1,-1,-1,30,7,16248
LSPCodebookL1,-1,-1,30,8,17449
LSPCodebookL1,-1,-1,30,9,18677
LSPCodebookL1,-1,-1,31,0,1875
LSPCodebookL1,-1,-1,31,1,2786
LSPCodebookL1,-1,-1,31,2,4231
LSPCodebookL1,-1,-1,31,3,6320
LSPCodebookL1,-1,-1,31,4,8694
LSPCodebookL1,-1,-1,31,5,10149
LSPCodebookL1,-1,-1,31,6,11785
LSPCodebookL1,-1,-1,31,7,17013
LSPCodebookL1,-1,-1,31,8,18608
LSPCodebookL1,-1,-1,31,9,19960
LSPCodebookL1,-1,-1,32,0,679
LSPCodebookL1,-1,-1,32,1,1411
LSPCodebookL1,-1,-1,32,2,4654
LSPCodebookL1,-1,-1,32,3,8006
LSPCodebookL1,-1,-1,32,4,11446
LSPCodebookL1,-1,-1,32,5,13249
LSPCodebookL1,-1,-1,32,6,15763
LSPCodebookL1,-1,-1,32,7,18127
LSPCodebookL1,-1,-1,32,8,20361
LSPCodebookL1,-1,-1,32,9,21567
LSPCodebookL1,-1,-1,33,0,1838
LSPCodebookL1,-1,-1,33,1,2596
LSPCodebookL1,-1,-1,33,2,3578
LSPCodebookL1,-1,-1,33,3,4608
LSPCodebookL1,-1,-1,33,4,5650
LSPCodebookL1,-1,-1,33,5,11274
LSPCodebookL1,-1,-1,33,6,14355
LSPCodebookL1,-1,-1,33,7,15886
LSPCodebookL1,-1,-1,33,8,20579
LSPCodebookL1,-1,-1,33,9,21754
LSPCodebookL1,-1,-1,34,0,1303
LSPCodebookL1,-1,-1,34,1,1955
LSPCodebookL1,-1,-1,34,2,2395
LSPCodebookL1,-1,-1,34,3,3322
LSPCodebookL1,-1,-1,34,4,12023
LSPCodebookL1,-1,-1,34,5,13764
LSPCodebookL1,-1,-1,34,6,15883
LSPCodebookL1,-1,-1,34,7,18077
LSPCodebookL1,-1,-1,34,8,20180
LSPCodebookL1,-1,-1,34,9,21232
LSPCodebookL1,-1,-1,35,0,1438
LSPCodebookL1,-1,-1,35,1,2102
LSPCodebookL1,-1,-1,35,2,2663
LSPCodebookL1,-1,-1,35,3,3462
LSPCodebookL1,-1,-1,35,4,8328
LSPCodebookL1,-1,-1,35,5,10362
LSPCodebookL1,-1,-1,35,6,13763
LSPCodebookL1,-1,-1,35,7,17248
LSPCodebookL1,-1,-1,35,8,19732
LSPCodebookL1,-1,-1,35,9,22344
LSPCodebookL1,-1,-1,36,0,860
LSPCodebookL1,-1,-1,36,1,1904
LSPCodebookL1,-1,-1,36,2,6098
LSPCodebookL1,-1,-1,36,3,7775
LSPCodebookL1,-1,-1,36,4,9815
LSPCodebookL1,-1,-1,36,5,12007
LSPCodebookL1,-1,-1,36,6,14821
LSPCodebookL1,-1,-1,36,7,16709
LSPCodebookL1,-1,-1,36,8,19787
LSPCodebookL1,-1,-1,36,9,21132
LSPCodebookL1,-1,-1,37,0,1673
LSPCodebookL1,-1,-1,37,1,2723
LSPCodebookL1,-1,-1,37,2,3704
LSPCodebookL1,-1,-1,37,3,6125
LSPCodebookL1,-1,-1,37,4,7668
LSPCodebookL1,-1,-1,37,5,9447
LSPCodebookL1,-1,-1,37,6,13683
LSPCodebookL1,-1,-1,37,7,14443
LSPCodebookL1,-1,-1,37,8,20538
LSPCodebookL1,-1,-1,37,9,21731
LSPCodebookL1,-1,-1,38,0,1246
LSPCodebookL1,-1,-1,38,1,1849
LSPCodebookL1,-1,-1,38,2,2902
LSPCodebookL1,-1,-1,38,3,4508
LSPCodebookL1,-1,-1,38,4,7221
LSPCodebookL1,-1,-1,38,5,12710
LSPCodebookL1,-1,-1,38,6,14835
LSPCodebookL1,-1,-1,38,7,16314
LSPCodebookL1,-1,-1,38,8,19335
LSPCodebookL1,-1,-1,38,9,22720
LSPCodebookL1,-1,-1,39,0,1525
LSPCodebookL1,-1,-1,39,1,2260
LSPCodebookL1,-1,-1,39,2,3862
LSPCodebookL1,-1,-1,39,3,5659
LSPCodebookL1,-1,-1,39,4,7342
LSPCodebookL1,-1,-1,39,5,11748
LSPCodebookL1,-1,-1,39,6,13370
LSPCodebookL1,-1,-1,39,7,14442
LSPCodebookL1,-1,-1,39,8,18044
LSPCodebookL1,-1,-1,39,9,21334
LSPCodebookL1,-1,-1,40,0,1196
LSPCodebookL1,-1,-1,40,1,1846
LSPCodebookL1,-1,-1,40,2,3104
LSPCodebookL1,-1,-1,40,3,7063
LSPCodebookL1,-1,-1,40,4,10972
LSPCodebookL1,-1,-1,40,5,12905
LSPCodebookL1,-1,-1,40,6,14814
LSPCodebookL1,-1,-1,40,7,17037
LSPCodebookL1,-1,-1,40,8,19922
LSPCodebookL1,-1,-1,40,9,22636
LSPCodebookL1,-1,-1,41,0,2147
LSPCodebookL1,-1,-1,41,1,3106
LSPCodebookL1,-1,-1,41,2,4475
LSPCodebookL1,-1,-1,41,3,6511
LSPCodebookL1,-1,-1,41,4,8227
LSPCodebookL1,-1,-1,41,5,9765
LSPCodebookL1,-1,-1,41,6,10984
LSPCodebookL1,-1,-1,41,7,12161
LSPCodebookL1,-1,-1,41,8,18971
LSPCodebookL1,-1,-1,41,9,21300
LSPCodebookL1,-1,-1,42,0,1585
LSPCodebookL1,-1,-1,42,1,2405
LSPCodebookL1,-1,-1,42,2,2994
LSPCodebookL1,-1,-1,42,3,4036
LSPCodebookL1,-1,-1,42,4,11481
LSPCodebookL1,-1,-1,42,5,13177
LSPCodebookL1,-1,-1,42,6,14519
LSPCodebookL1,-1,-1,42,7,15431
LSPCodebookL1,-1,-1,42,8,19967
LSPCodebookL1,-1,-1,42,9,21275
LSPCodebookL1,-1,-1,43,0,1778
LSPCodebookL1,-1,-1,43,1,2688
LSPCodebookL1,-1,-1,43,2,3614
LSPCodebookL1,-1,-1,43,3,4680
LSPCodebookL1,-1,-1,43,4,9465
LSPCodebookL1,-1,-1,43,5,11064
LSPCodebookL1,-1,-1,43,6,12473
LSPCodebookL1,-1,-1,43,7,16320
LSPCodebookL1,-1,-1,43,8,19742
LSPCodebookL1,-1,-1,43,9,20800
LSPCodebookL1,-1,-1,44,0,1862
LSPCodebookL1,-1,-1,44,1,2586
LSPCodebookL1,-1,-1,44,2,3492
LSPCodebookL1,-1,-1,44,3,6719
LSPCodebookL1,-1,-1,44,4,11708
LSPCodebookL1,-1,-1,44,5,13012
LSPCodebookL1,-1,-1,44,6,14364
LSPCodebookL1,-1,-1,44,7,16128
LSPCodebookL1,-1,-1,44,8,19610
LSPCodebookL1,-1,-1,44,9,20425
LSPCodebookL1,-1,-1,45,0,1395
LSPCodebookL1,-1,-1,45,1,2156
LSPCodebookL1,-1,-1,45,2,2669
LSPCodebookL1,-1,-1,45,3,3386
LSPCodebookL1,-1,-1,45,4,10607
LSPCodebookL1,-1,-1,45,5,12125
LSPCodebookL1,-1,-1,45,6,13614
LSPCodebookL1,-1,-1,45,7,16705
LSPCodebookL1,-1,-1,45,8,18976
LSPCodebookL1,-1,-1,45,9,21367
LSPCodebookL1,-1,-1,46,0,1444
LSPCodebookL1,-1,-1,46,1,2117
LSPCodebookL1,-1,-1,46,2,3286
LSPCodebookL1,-1,-1,46,3,6233
LSPCodebookL1,-1,-1,46,4,9423
LSPCodebookL1,-1,-1,46,5,12981
LSPCodebookL1,-1,-1,46,6,14998
LSPCodebookL1,-1,-1,46,7,15853
LSPCodebookL1,-1,-1,46,8,17188
LSPCodebookL1,-1,-1,46,9,21857
LSPCodebookL1,-1,-1,47,0,2004
LSPCodebookL1,-1,-1,47,1,2895
LSPCodebookL1,-1,-1,47,2,3783
LSPCodebookL1,-1,-1,47,3,4897
LSPCodebookL1,-1,-1,47,4,6168
LSPCodebookL1,-1,-1,47,5,7297
LSPCodebookL1,-1,-1,47,6,12609
LSPCodebookL1,-1,-1,47,7,16445
LSPCodebookL1,-1,-1,47,8,19297
LSPCodebookL1,-1,-1,47,9,21465
LSPCodebookL1,-1,-1,48,0,1495
LSPCodebookL1,-1,-1,48,1,2863
LSPCodebookL1,-1,-1,48,2,6360
LSPCodebookL1,-1,-1,48,3,8100
LSPCodebookL1,-1,-1,48,4,11399
LSPCodebookL1,-1,-1,48,5,14271
LSPCodebookL1,-1,-1,48,6,15902
LSPCodebookL1,-1,-1,48,7,17711
LSPCodebookL1,-1,-1,48,8,20479
LSPCodebookL1,-1,-1,48,9,22061
LSPCodebookL1,-1,-1,49,0,2484
LSPCodebookL1,-1,-1,49,1,3114
LSPCodebookL1,-1,-1,49,2,5718
LSPCodebookL1,-1,-1,49,3,7097
LSPCodebookL1,-1,-1,49,4,8400
LSPCodebookL1,-1,-1,49,5,12616
LSPCodebookL1,-1,-1,49,6,14073
LSPCodebookL1,-1,-1,49,7,14847
LSPCodebookL1,-1,-1,49,8,20535
LSPCodebookL1,-1,-1,49,9,21396
LSPCodebookL1,-1,-1,50,0,2424
LSPCodebookL1,-1,-1,50,1,3277
LSPCodebookL1,-1,-1,50,2,5296
LSPCodebookL1,-1,-1,50,3,6284
LSPCodebookL1,-1,-1,50,4,11290
LSPCodebookL1,-1,-1,50,5,12903
LSPCodebookL1,-1,-1,50,6,16022
LSPCodebookL1,-1,-1,50,7,17508
LSPCodebookL1,-1,-1,50,8,19333
LSPCodebookL1,-1,-1,50,9,20283
LSPCodebookL1,-1,-1,51,0,2565
LSPCodebookL1,-1,-1,51,1,3778
LSPCodebookL1,-1,-1,51,2,5360
LSPCodebookL1,-1,-1,51,3,6989
LSPCodebookL1,-1,-1,51,4,8782
LSPCodebookL1,-1,-1,51,5,10428
LSPCodebookL1,-1,-1,51,6,14390
LSPCodebookL1,-1,-1,51,7,15742
LSPCodebookL1,-1,-1,51,8,17770
LSPCodebookL1,-1,-1,51,9,21734
LSPCodebookL1,-1,-1,52,0,2727
LSPCodebookL1,-1,-1,52,1,3384
LSPCodebookL1,-1,-1,52,2,6613
LSPCodebookL1,-1,-1,52,3,9254
LSPCodebookL1,-1,-1,52,4,10542
LSPCodebookL1,-1,-1,52,5,12236
LSPCodebookL1,-1,-1,52,6,14651
LSPCodebookL1,-1,-1,52,7,15687
LSPCodebookL1,-1,-1,52,8,20074
LSPCodebookL1,-1,-1,52,9,21102
LSPCodebookL1,-1,-1,53,0,1916
LSPCodebookL1,-1,-1,53,1,2953
LSPCodebookL1,-1,-1,53,2,6274
LSPCodebookL1,-1,-1,53,3,8088
LSPCodebookL1,-1,-1,53,4,9710
LSPCodebookL1,-1,-1,53,5,10925
LSPCodebookL1,-1,-1,53,6,12392
LSPCodebookL1,-1,-1,53,7,16434
LSPCodebookL1,-1,-1,53,8,20010
LSPCodebookL1,-1,-1,53,9,21183
LSPCodebookL1,-1,-1,54,0,3384
LSPCodebookL1,-1,-1,54,1,4366
LSPCodebookL1,-1,-1,54,2,5349
LSPCodebookL1,-1,-1,54,3,7667
LSPCodebookL1,-1,-1,54,4,11180
LSPCodebookL1,-1,-1,54,5,12605
LSPCodebookL1,-1,-1,54,6,13921
LSPCodebookL1,-1,-1,54,7,15324
LSPCodebookL1,-1,-1,54,8,19901
LSPCodebookL1,-1,-1,54,9,20754
LSPCodebookL1,-1,-1,55,0,3075
LSPCodebookL1,-1,-1,55,1,4283
LSPCodebookL1,-1,-1,55,2,5951
LSPCodebookL1,-1,-1,55,3,7619
LSPCodebookL1,-1,-1,55,4,9604
LSPCodebookL1,-1,-1,55,5,11010
LSPCodebookL1,-1,-1,55,6,12384
LSPCodebookL1,-1,-1,55,7,14006
LSPCodebookL1,-1,-1,55,8,20658
LSPCodebookL1,-1,-1,55,9,21497
LSPCodebookL1,-1,-1,56,0,1751
LSPCodebookL1,-1,-1,56,1,2455
LSPCodebookL1,-1,-1,56,2,5147
LSPCodebookL1,-1,-1,56,3,9966
LSPCodebookL1,-1,-1,56,4,11621
LSPCodebookL1,-1,-1,56,5,13176
LSPCodebookL1,-1,-1,56,6,14739
LSPCodebookL1,-1,-1,56,7,16470
LSPCodebookL1,-1,-1,56,8,20788
LSPCodebookL1,-1,-1,56,9,21756
LSPCodebookL1,-1,-1,57,0,1442
LSPCodebookL1,-1,-1,57,1,2188
LSPCodebookL1,-1,-1,57,2,3330
LSPCodebookL1,-1,-1,57,3,6813
LSPCodebookL1,-1,-1,57,4,8929
LSPCodebookL1,-1,-1,57,5,12135
LSPCodebookL1,-1,-1,57,6,14476
LSPCodebookL1,-1,-1,57,7,15306
LSPCodebookL1,-1,-1,57,8,19635
LSPCodebookL1,-1,-1,57,9,20544
LSPCodebookL1,-1,-1,58,0,2294
LSPCodebookL1,-1,-1,58,1,2895
LSPCodebookL1,-1,-1,58,2,4070
LSPCodebookL1,-1,-1,58,3,8035
LSPCodebookL1,-1,-1,58,4,12233
LSPCodebookL1,-1,-1,58,5,13416
LSPCodebookL1,-1,-1,58,6,14762
LSPCodebookL1,-1,-1,58,7,17367
LSPCodebookL1,-1,-1,58,8,18952
LSPCodebookL1,-1,-1,58,9,19688
LSPCodebookL1,-1,-1,59,0,1937
LSPCodebookL1,-1,-1,59,1,2659
LSPCodebookL1,-1,-1,59,2,4602
LSPCodebookL1,-1,-1,59,3,6697
LSPCodebookL1,-1,-1,59,4,9071
LSPCodebookL1,-1,-1,59,5,12863
LSPCodebookL1,-1,-1,59,6,14197
LSPCodebookL1,-1,-1,59,7,15230
LSPCodebookL1,-1,-1,59,8,16047
LSPCodebookL1,-1,-1,59,9,18877
LSPCodebookL1,-1,-1,60,0,2071
LSPCodebookL1,-1,-1,60,1,2663
LSPCodebookL1,-1,-1,60,2,4216
LSPCodebookL1,-1,-1,60,3,9445
LSPCodebookL1,-1,-1,60,4,10887
LSPCodebookL1,-1,-1,60,5,12292
LSPCodebookL1,-1,-1,60,6,13949
